Row Labels,Count of County,Coutny FIPS Codes,Percent of County Urban,"Sum of Population, tract total","Sum of Housing units, total",Sum of Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,Sum of Low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,"Sum of Vehicle access, tract with low vehicle access",Percent of County Low Incom,Poverty County Rate,Sum of Tract median family income,Sum of Low access tract at 1 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1 mile for urban areas and 20 miles for rural areas,Sum of Low access tract at 1/2 mile,Sum of Low access tract at 1 mile,Sum of Low access tract at 10 miles,Sum of Low access tract at 20 miles,Sum of Low access tract using vehicle access and at 20 miles  in rural areas,"Sum of Low access, population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, population at 1/2 mile, number","Sum of Low access, low-income population at 1/2 mile, number","Sum of Low access, White population at 1/2 mile, number","Sum of Low access, Black or African American population at 1/2 mile, number","Sum of Low access, Asian population at 1/2 mile, number","Sum of Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, number","Sum of Low access, American Indian or Alaska Native population at 1/2 mile, number","Sum of Low access, Other/Multiple race population at 1/2 mile, number","Sum of Low access, Hispanic or Latino population at 1/2 mile, number","Sum of Vehicle access, housing units without and low access at 1/2 mile, number","Sum of Low access, population at 1 mile, number","Sum of Low access, low-income population at 1 mile, number","Sum of Low access, White population at 1 mile, number","Sum of Low access, Black or African American population at 1 mile, number","Sum of Low access, Asian population at 1 mile, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, number","Sum of Low access, American Indian and Alaska Native population at 1 mile, number","Sum of Low access, Other/Multiple race population at 1 mile, number","Sum of Low access, Hispanic or Latino population at 1 mile, number","Sum of Vehicle access, housing units without and low access at 1 mile, number","Sum of Low access, population at 10 miles, number","Sum of Low access, low-income population at 10 miles, number","Sum of Low access, White population at 10 miles, number","Sum of Low access, Black or African American population at 10 miles, number","Sum of Low access, Asian population at 10 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, number","Sum of Low access, American Indian and Alaska Native population at 10 miles, number","Sum of Low access, Other/Multiple race population at 10 miles, number","Sum of Low access, Hispanic or Latino population at 10 miles, number","Sum of Vehicle access, housing units without and low access at 10 miles, number","Sum of Low access, population at 20 miles, number","Sum of Low access, low-income population at 20 miles, number","Sum of Low access, White population at 20 miles, number","Sum of Low access, Black or African American population at 20 miles, number","Sum of Low access, Asian population at 20 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, number","Sum of Low access, American Indian and Alaska Native population at 20 miles, number","Sum of Low access, Other/Multiple race population at 20 miles, number","Sum of Low access, Hispanic or Latino population at 20 miles, number","Sum of Vehicle access, housing units without and low access at 20 miles, number","Sum of Tract low-income population, number","Sum of Tract White population, number","Sum of Tract Black or African American population, number","Sum of Tract Asian population, number","Sum of Tract Native Hawaiian and Other Pacific Islander population, number","Sum of Tract American Indian and Alaska Native population, number","Sum of Tract Other/Multiple race population, number","Sum of Tract Hispanic or Latino population, number","Sum of Tract housing units without a vehicle, number"
Autauga,12,1001,58.33333333,54571,20221,2,2,1,2,4,16.66666667,0.304740613,732995,9,10,6,7,6,3,0,4,18092.66135,30141.63855,11064.87292,6835.642497,10632.84747,3939.64742,48518.8501,16697.02444,38073.4418,8657.267416,370.606503,22.61264669,214.5689008,1180.352908,1135.95991,909.4522416,36469.8729,12899.81947,28592.19236,6645.162299,188.4571427,15.7110412,161.6356471,866.7144524,790.1878473,677.6727692,7027.788425,2895.995078,4393.008162,2469.136382,7.278660227,2.999999909,27.00633225,128.3588908,107.6557368,167.5569966,0,0,0,0,0,0,0,0,0,0,18692,42855,9643,474,32,232,1335,1310,1081
Baldwin,31,1003,45.16129032,182265,73180,3,3,3,2,4,22.58064516,0.244204867,1880613,15,16,13,14,13,2,0,4,46400.35064,72307.84915,43486.80623,15459.84842,23336.89827,14323.85105,165014.094,54597.72079,142031.9385,14915.24189,1157.088823,82.46370849,1130.36788,5696.993209,7236.577106,1869.987504,131649.1587,44343.51654,114569.0545,10709.56546,792.906323,51.30599554,971.615628,4554.710751,5400.587834,1394.162766,2913.544414,1135.99737,2419.672998,393.1869995,7.278226446,0,43.1692822,50.23690873,20.73259042,43.1972311,0,0,0,0,0,0,0,0,0,0,63277,156153,17105,1348,89,1216,6354,7992,2242
Barbour,9,1005,22.22222222,27457,9820,3,3,1,2,3,77.77777778,0.804166515,388107,5,5,2,2,2,3,0,3,6683.975691,9302.71796,1182.176872,3251.362574,4750.994136,518.7016155,23643.30001,12184.24206,11729.33843,10661.59022,73.99689455,28.79172235,108.9531897,1040.629533,1254.115059,655.1477404,19197.26238,9721.108548,9924.136304,8196.688099,65.27683197,13.96178555,101.1955827,896.0037406,1055.536003,425.1449273,5501.798819,2732.660958,2487.933427,2552.966247,11.07988572,5.839162808,14.41742057,429.5626549,453.3796873,160.0107075,0,0,0,0,0,0,0,0,0,0,12484,13180,12875,107,29,114,1152,1387,802
Bibb,4,1007,0,22915,7953,0,0,0,1,1,100,0.279729435,173450,0,0,0,0,0,0,0,1,295.6144259,295.6144259,0,164.9032953,164.9032953,0,21880.5779,10500.49402,16632.55602,4774.092785,21.93892671,12.90718777,62.13979483,376.9431827,396.8315946,296.3245135,18918.37782,8937.631914,14775.82754,3775.872255,16.57424254,3.915620535,50.48558284,295.7025648,304.3460568,224.3881246,295.6144259,164.9032953,279.6394269,10.92484189,0.477899202,0,1.46869029,3.103568665,2.944256913,0.85069985,0,0,0,0,0,0,0,0,0,0,10123,17381,5047,22,13,64,388,406,299
Blount,9,1009,11.11111111,57322,21578,0,0,0,2,3,44.44444444,0.28121838,469224,2,2,1,1,1,1,0,3,5855.939161,7387.084979,3900.420369,2570.900481,3231.158784,1674.599139,55357.91116,22070.77872,51337.31687,718.0911735,108.7280676,37.86781595,297.5419774,2858.365258,4351.511789,814.1368143,52242.22228,20568.19456,48763.47709,552.1190313,84.02305435,36.18618491,279.7037542,2526.713164,3827.60793,719.931444,1955.518792,896.3013417,1875.942953,20.54444173,4.428994397,0.001781138,17.81561042,36.78500837,49.99395537,19.11513964,0,0,0,0,0,0,0,0,0,0,22865,53068,761,117,38,307,3031,4626,823
Bullock,3,1011,33.33333333,10914,3745,2,2,0,2,3,66.66666667,0.531427524,135821,3,3,1,1,1,2,0,3,6099.953134,7785.685641,3578.754581,3192.409115,4058.869922,1885.43877,9076.487076,4721.508351,2272.860023,6193.007313,9.793717524,42.99999985,17.0142324,540.8117622,630.7115101,540.6715735,7390.754569,3855.047544,2083.267436,5162.912414,3.522750628,0,17.00000029,124.0519499,113.5423269,415.8613008,2521.303174,1307.029438,882.9308059,1599.312707,0.968748205,0,7.70528758,30.38562456,20.42760515,192.0956282,0,0,0,0,0,0,0,0,0,0,5279,2507,7666,20,43,23,655,777,703
Butler,9,1013,22.22222222,20947,8491,3,3,1,2,2,77.77777778,1.066023774,383333,3,4,1,2,1,2,0,2,2478.014011,4478.432771,1173.685255,1414.129113,2386.450061,801.1943525,18057.02014,9488.604947,10147.12949,7512.001454,145.6576307,6.999999916,58.37833809,186.8532244,178.9989498,581.9005759,13017.98698,6567.203837,8280.54135,4450.384861,107.2189805,1.784310093,53.4458708,124.6116023,97.77774544,320.168301,1304.328756,612.9347608,729.7324117,550.9011026,4.955498356,0,7.298759186,11.44098716,11.0849019,35.17414995,0,0,0,0,0,0,0,0,0,0,10643,11399,9095,177,7,60,209,191,701
Calhoun,31,1015,67.74193548,118572,47331,7,13,7,4,6,45.16129032,0.596936882,1290421,15,21,15,21,15,0,0,6,34221.44671,64949.13474,34221.44671,14477.22916,29217.92379,14477.22916,99233.63401,41420.19587,76806.79637,18312.37896,686.893764,88.47074381,442.730176,2896.364088,2867.63792,2116.957606,66034.3287,25656.57231,55009.06013,8514.050205,413.5256169,58.684935,295.4375902,1743.57028,1661.730337,1235.289629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50179,88840,24382,845,96,540,3869,3893,2562
Chambers,9,1017,44.44444444,34215,13933,3,3,3,5,5,88.88888889,0.640070145,375212,4,4,4,4,4,0,0,5,6793.989974,10900.25915,6065.401001,3534.147354,5548.070121,3285.772882,29051.6202,14037.92881,17394.47525,10965.5682,151.529078,2.722702678,60.72359816,476.6013082,420.8633991,1047.850772,21842.84605,10124.75287,13896.16733,7452.974631,143.4125652,0.999999996,53.41919276,295.8722896,272.570492,730.2010667,728.5889721,248.3744719,527.7360877,185.9880624,0.861157977,0,3.719463552,10.2842033,14.43952941,25.40108204,0,0,0,0,0,0,0,0,0,0,16574,20112,13257,168,10,69,599,536,1238
Cherokee,6,1019,16.66666667,25989,10626,0,0,0,0,0,33.33333333,0.485974836,273186,1,1,1,1,1,0,0,0,3518.586386,3989.18953,3415.063887,1526.390177,1777.623625,1468.925275,25183.06129,11470.05065,23445.57721,1058.955653,49.1305014,1.000000002,133.9151456,494.4828036,312.2156488,310.8779219,24041.18134,10944.12109,22519.4042,882.8551668,46.10823458,1.000000002,130.0953194,461.7184295,299.9332949,299.8869228,103.5224989,57.46490171,100.8908362,1.410913298,0,0,0.217044921,1.003704677,0.348952026,1.676332727,0,0,0,0,0,0,0,0,0,0,11661,24081,1208,54,1,135,510,320,346
