State,County,Count of County,FIPS,Percent of County Urban,"Sum of Population, tract total","Sum of Housing units, total",Average Income In County,Percent of Tract Low income,PercentPopUnderPoverty,Sum of Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,Sum of Low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,"Sum of Vehicle access, tract with low vehicle access",Sum of Low access tract at 1 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1 mile for urban areas and 20 miles for rural areas,Sum of Low access tract at 1/2 mile,Sum of Low access tract at 1 mile,Sum of Low access tract at 10 miles,Sum of Low access tract at 20 miles,Sum of Low access tract using vehicle access and at 20 miles  in rural areas,"Sum of Low access, population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, population at 1/2 mile, number","Sum of Low access, low-income population at 1/2 mile, number","Sum of Low access, White population at 1/2 mile, number","Sum of Low access, Black or African American population at 1/2 mile, number","Sum of Low access, Asian population at 1/2 mile, number","Sum of Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, number","Sum of Low access, American Indian or Alaska Native population at 1/2 mile, number","Sum of Low access, Other/Multiple race population at 1/2 mile, number","Sum of Low access, Hispanic or Latino population at 1/2 mile, number","Sum of Vehicle access, housing units without and low access at 1/2 mile, number","Sum of Low access, population at 1 mile, number","Sum of Low access, low-income population at 1 mile, number","Sum of Low access, White population at 1 mile, number","Sum of Low access, Black or African American population at 1 mile, number","Sum of Low access, Asian population at 1 mile, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, number","Sum of Low access, American Indian and Alaska Native population at 1 mile, number","Sum of Low access, Other/Multiple race population at 1 mile, number","Sum of Low access, Hispanic or Latino population at 1 mile, number","Sum of Vehicle access, housing units without and low access at 1 mile, number","Sum of Low access, population at 10 miles, number","Sum of Low access, low-income population at 10 miles, number","Sum of Low access, White population at 10 miles, number","Sum of Low access, Black or African American population at 10 miles, number","Sum of Low access, Asian population at 10 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, number","Sum of Low access, American Indian and Alaska Native population at 10 miles, number","Sum of Low access, Other/Multiple race population at 10 miles, number","Sum of Low access, Hispanic or Latino population at 10 miles, number","Sum of Vehicle access, housing units without and low access at 10 miles, number","Sum of Low access, population at 20 miles, number","Sum of Low access, low-income population at 20 miles, number","Sum of Low access, White population at 20 miles, number","Sum of Low access, Black or African American population at 20 miles, number","Sum of Low access, Asian population at 20 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, number","Sum of Low access, American Indian and Alaska Native population at 20 miles, number","Sum of Low access, Other/Multiple race population at 20 miles, number","Sum of Low access, Hispanic or Latino population at 20 miles, number","Sum of Vehicle access, housing units without and low access at 20 miles, number","Sum of Tract low-income population, number","Sum of Tract White population, number","Sum of Tract Black or African American population, number","Sum of Tract Asian population, number","Sum of Tract Native Hawaiian and Other Pacific Islander population, number","Sum of Tract American Indian and Alaska Native population, number","Sum of Tract Other/Multiple race population, number","Sum of Tract Hispanic or Latino population, number","Sum of Tract housing units without a vehicle, number"
Alabama,Autauga County,12,1001,58.33333333,54571,20221,69337.5,41.66666667,15.13758406,5,5,3,1,3,9,9,7,7,7,2,0,3,18503,29442,13384,7106,10300,4799,49497,15518,38699,8987,374,23,216,1200,1166,1045,37424,12067,28864,7295,176,16,171,901,800,834,5119,2307,2951,2054,4,0,21,88,67,222,0,0,0,0,0,0,0,0,0,0,17243,42855,9643,474,32,232,1335,1310,1191
Alabama,Baldwin County,31,1003,45.16129032,182265,73180,72665.74194,22.58064516,10.94787151,4,4,3,3,6,14,15,13,14,13,1,0,6,45789,71643,43481,14468,22146,13622,165616,48117,142534,14958,1155,83,1135,5757,7321,2178,132442,38848,115294,10622,807,51,974,4695,5695,1653,2308,846,1850,385,4,0,36,34,17,32,0,0,0,0,0,0,0,0,0,0,57843,156153,17105,1348,89,1216,6354,7992,2705
Alabama,Barbour County,9,1005,22.22222222,27457,9820,44792.44444,88.88888889,29.35451797,4,5,1,3,3,4,5,1,2,1,3,0,3,5636,8563,993,2864,4452,424,23762,11901,11829,10675,74,29,109,1047,1272,742,19007,9290,9800,8138,66,12,101,889,1044,545,4643,2440,1942,2275,10,3,12,400,426,201,0,0,0,0,0,0,0,0,0,0,12073,13180,12875,107,29,114,1152,1387,849
Alabama,Bibb County,4,1007,0,22915,7953,60645.5,25,13.83345843,0,0,0,1,2,0,0,0,0,0,0,0,2,365,365,0,102,102,0,20989,8349,16162,4361,22,13,60,371,379,441,17560,6480,14503,2693,17,6,52,288,268,312,365,102,348,10,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,7968,17381,5047,22,13,64,388,406,410
Alabama,Blount County,9,1009,11.11111111,57322,21578,60437.66667,33.33333333,14.6238425,0,0,0,2,4,1,1,1,1,1,0,0,4,3902,5432,3902,1440,2039,1440,54933,19806,50968,716,106,38,296,2809,4262,822,50848,18188,47501,544,81,36,271,2414,3602,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20795,53068,761,117,38,307,3031,4626,856
Alabama,Bullock County,3,1011,33.33333333,10914,3745,39524.66667,66.66666667,33.81286421,2,2,1,1,1,3,3,1,1,1,2,0,1,7480,8839,4897,3529,4207,2264,10068,4676,2261,7162,8,43,19,574,665,433,8709,3998,2180,5935,4,43,17,531,614,334,2586,1267,936,1609,1,0,8,31,20,80,0,0,0,0,0,0,0,0,0,0,4767,2507,7666,20,43,23,655,777,423
Alabama,Butler County,9,1013,22.22222222,20947,8491,50170.66667,77.77777778,23.08001623,3,3,1,3,3,3,4,1,2,1,2,0,3,2508,4508,1174,1448,2429,892,18066,8647,10151,7516,146,7,58,187,179,542,13062,5961,8306,4465,109,2,54,125,99,327,1334,556,745,565,5,0,7,12,11,23,0,0,0,0,0,0,0,0,0,0,9473,11399,9095,177,7,60,209,191,520
Alabama,Calhoun County,30,1015,70,118572,47331,46976.2,50,19.65266083,12,14,12,8,8,19,21,19,21,19,0,0,8,42576,69358,42576,18257,31720,18257,103164,42330,78551,20274,706,88,458,3086,3077,2334,73009,27692,59149,11085,440,64,328,1936,1873,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46441,88840,24382,845,96,540,3869,3893,2599
Alabama,Chambers County,9,1017,44.44444444,34215,13933,52413.44444,44.44444444,16.63565103,3,3,3,1,3,4,4,4,4,4,0,0,3,6746,10852,6066,2772,4903,2480,28913,12879,17355,10878,152,3,62,464,409,825,21766,9202,13899,7379,144,1,53,288,267,607,680,292,491,176,1,0,3,10,14,12,0,0,0,0,0,0,0,0,0,0,14986,20112,13257,168,10,69,599,536,989
Alabama,Cherokee County,6,1019,16.66666667,25989,10626,51754.66667,33.33333333,15.12549155,0,0,0,0,1,1,1,1,1,1,0,0,1,3506,3977,3415,1301,1448,1267,25204,10341,23465,1064,49,1,131,495,313,397,24078,9864,22555,881,46,1,130,465,301,361,91,34,87,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,10793,24081,1208,54,1,135,510,320,435
