State,Count of County,StateCode,Percent of State Urban,"Sum of Population, tract total","Sum of Housing units, total",Average of Tract median family income,Percent Low income by Area,Percent of Population in Poverty,Sum of Low income and low access tract measured at 1 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low income and low access tract measured at 1 mile for urban areas and 20 miles for rural areas,Sum of Low income and low access tract using vehicle access or low income and low access tract measured at 20 miles,"Sum of Vehicle access, tract with low vehicle access",Sum of Low access tract at 1 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1/2 mile for urban areas and 10 miles for rural areas,Sum of Low access tract at 1 mile for urban areas and 20 miles for rural areas,Sum of Low access tract at 1/2 mile,Sum of Low access tract at 1 mile,Sum of Low access tract at 10 miles,Sum of Low access tract at 20 miles,Sum of Low access tract using vehicle access and at 20 miles  in rural areas,"Sum of Low access, population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1/2 mile for urban areas and 10 miles for rural areas, number","Sum of Low access, low-income population at 1 mile for urban areas and 20 miles for rural areas, number","Sum of Low access, population at 1/2 mile, number","Sum of Low access, low-income population at 1/2 mile, number","Sum of Low access, White population at 1/2 mile, number","Sum of Low access, Black or African American population at 1/2 mile, number","Sum of Low access, Asian population at 1/2 mile, number","Sum of Low access, Native Hawaiian or Other Pacific Islander population at 1/2 mile, number","Sum of Low access, American Indian or Alaska Native population at 1/2 mile, number","Sum of Low access, Other/Multiple race population at 1/2 mile, number","Sum of Low access, Hispanic or Latino population at 1/2 mile, number","Sum of Vehicle access, housing units without and low access at 1/2 mile, number","Sum of Low access, population at 1 mile, number","Sum of Low access, low-income population at 1 mile, number","Sum of Low access, White population at 1 mile, number","Sum of Low access, Black or African American population at 1 mile, number","Sum of Low access, Asian population at 1 mile, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 1 mile, number","Sum of Low access, American Indian and Alaska Native population at 1 mile, number","Sum of Low access, Other/Multiple race population at 1 mile, number","Sum of Low access, Hispanic or Latino population at 1 mile, number","Sum of Vehicle access, housing units without and low access at 1 mile, number","Sum of Low access, population at 10 miles, number","Sum of Low access, low-income population at 10 miles, number","Sum of Low access, White population at 10 miles, number","Sum of Low access, Black or African American population at 10 miles, number","Sum of Low access, Asian population at 10 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 10 miles, number","Sum of Low access, American Indian and Alaska Native population at 10 miles, number","Sum of Low access, Other/Multiple race population at 10 miles, number","Sum of Low access, Hispanic or Latino population at 10 miles, number","Sum of Vehicle access, housing units without and low access at 10 miles, number","Sum of Low access, population at 20 miles, number","Sum of Low access, low-income population at 20 miles, number","Sum of Low access, White population at 20 miles, number","Sum of Low access, Black or African American population at 20 miles, number","Sum of Low access, Asian population at 20 miles, number","Sum of Low access, Native Hawaiian and Other Pacific Islander population at 20 miles, number","Sum of Low access, American Indian and Alaska Native population at 20 miles, number","Sum of Low access, Other/Multiple race population at 20 miles, number","Sum of Low access, Hispanic or Latino population at 20 miles, number","Sum of Vehicle access, housing units without and low access at 20 miles, number","Sum of Tract low-income population, number","Sum of Tract White population, number","Sum of Tract Black or African American population, number","Sum of Tract Asian population, number","Sum of Tract Native Hawaiian and Other Pacific Islander population, number","Sum of Tract American Indian and Alaska Native population, number","Sum of Tract Other/Multiple race population, number","Sum of Tract Hispanic or Latino population, number","Sum of Tract housing units without a vehicle, number"
Alabama,1178,1,54.66893039,4779736,1883791,59255.95331,52.20713073,18.15395729,267,401,209,260,347,500,704,416,620,416,84,0,347,1171204,2128037,1048910,418741,813901,361858,4097447,1553294,2878234,1012589,41645,2470,25395,137145,149589,95414,2935582,1073134,2190069,609412,23203,1522,20633,90734,95705,58528,122530,57031,71249,48202,144,27,880,2023,1696,3920,233,146,35,196,0,0,0,1,1,9,1792925,3275394,1251311,53595,3057,28218,168161,185602,115360
Alaska,167,2,50.2994012,710231,258058,86412.04192,31.73652695,10.86964241,33,48,26,30,51,85,122,71,83,46,39,25,58,219242,377154,198820,55886,92775,48636,571016,143243,392253,16994,26997,4746,81840,48180,30075,18020,383330,98217,272229,7686,13520,1611,59796,28486,16850,12859,64834,27374,31852,472,1065,96,27851,3501,1369,6592,40586,19476,14308,350,803,52,22861,2212,870,5502,176953,473375,23262,38117,7409,97786,62823,39242,22474
Arizona,1520,4,85,6392017,2380990,69364.63816,42.82894737,16.48891032,257,546,226,237,284,673,1300,623,1206,579,94,44,306,1712371,3906180,1568602,554832,1337967,488912,4543901,1553289,3357366,170464,116960,8606,244521,646000,1249745,91538,2269693,744272,1682559,73634,49626,4184,186704,272986,535094,37619,247526,123764,140229,2558,1244,248,81142,22096,39699,6898,87651,50991,32167,314,442,46,48565,6118,10667,3422,2435260,4667121,259008,176695,12648,296529,980016,1895149,160011
Arkansas,686,5,48.83381924,2915918,1147084,56364.42274,43.87755102,18.18740733,171,229,123,143,232,358,450,243,334,242,116,1,233,725731,1303087,556920,292051,552814,217257,2496017,1005188,1950152,370406,28984,4111,18821,123557,144923,59929,1774428,684193,1452367,218371,16149,2044,13434,72082,81873,35393,171053,75859,138153,25853,505,50,1219,5269,5144,3941,2093,980,1731,238,5,0,22,94,95,42,1173490,2245229,449895,36102,5863,22248,156581,186050,73619
California,8024,6,91.63758724,37253956,12577498,87440.34035,43.10817547,14.44574799,536,2117,497,505,755,1964,5585,1883,5485,1864,100,19,772,4951436,16681356,4800665,1204964,4776010,1148307,19007542,5505259,11793500,1115988,2198455,68453,195767,3635331,6263357,301830,6882412,1810949,4739505,334989,605930,19494,87127,1095369,1857773,78700,198184,77123,149483,9661,3020,448,6412,29171,53503,3280,33728,13629,24667,2070,707,200,1031,5054,7410,673,12496818,21453934,2299072,4861007,144386,362801,8132756,14013719,939034
Colorado,1242,8,78.66344605,5029196,1972868,85712.71417,39.45249597,11.20354804,173,415,144,109,143,492,986,437,916,422,70,15,157,1079312,2854895,992502,253681,732307,229192,3623972,906289,2998540,133128,94538,4655,39422,353695,688997,54706,1731172,396228,1482738,52636,34424,2033,18612,140721,276118,18756,110662,33007,100312,610,490,89,2604,6549,12820,1169,23194,8328,20747,100,66,20,325,1935,4185,342,1435234,4089202,201737,139028,6623,56010,536596,1038687,108846
Connecticut,828,9,85.26570048,3574097,1371087,99354.28382,34.7826087,10.33081422,65,207,65,121,198,385,619,385,619,385,0,0,198,1046112,2128112,1045982,152545,433402,152530,2636731,500781,2195453,192074,91046,909,7280,150003,242774,60630,1498221,210213,1341495,57494,43973,400,3681,51145,78175,20516,130,15,125,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,796272,2772410,362296,135565,1428,11256,291142,479087,121241
Delaware,214,10,79.43925234,897934,342297,80919.78505,37.85046729,12.26901999,32,58,32,27,48,99,153,99,153,99,0,0,48,245119,497084,245119,56524,123790,56524,682962,173483,486229,136946,20429,289,3047,36015,46518,13469,410217,100307,305404,72903,10576,174,1985,19164,23426,6263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246724,618617,191814,28549,400,4181,54373,73221,21698
District of Columbia,179,11,100,601723,266707,115161.7207,46.9273743,17.18994305,12,49,12,43,62,16,89,16,89,16,0,0,62,27650,196290,27650,9661,66866,9661,196290,66866,55192,126644,4229,78,609,9529,11427,23539,27650,9661,7366,18953,375,9,86,860,962,2770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190153,231471,305125,21056,302,2079,41690,54749,99637
Florida,4182,12,86.72883788,18801310,7420802,67740.83166,37.92443807,14.99591911,550,1211,513,581,927,1803,3375,1736,3303,1731,72,5,932,4712762,11040305,4594580,1427401,3645510,1376304,13160276,4379650,10121138,1910159,321163,8642,50107,749159,2365014,274913,6571917,2070315,5279038,773838,145123,4218,26959,342714,899777,104091,127788,55410,106141,13463,573,49,1909,5662,11594,2106,4167,2074,3254,192,5,2,484,232,578,47,7137086,14109162,2999862,454821,12286,71458,1153721,4223806,493915
